time,x,y,z,yaw,pitch,roll,speed
2.44,-10.255,86.3841,1.78E-05,-1.42666,1.21E-05,1.34E-05,2.00E+01
2.46,-10.2116,86.0856,2.04E-05,-1.42666,1.21E-05,1.14E-05,2.00E+01
2.48,-10.1685,85.7883,2.34E-05,-1.42666,1.21E-05,9.32E-06,2.00E+01
2.5,-10.1255,85.4922,2.63E-05,-1.42666,1.21E-05,7.21E-06,1.50E+01
2.52,-10.0827,85.1973,2.92E-05,-1.42666,1.21E-05,5.10E-06,1.50E+01
2.54,-10.0401,84.9036,3.07E-05,-1.42666,1.45E-05,4.02E-06,1.50E+01
2.56,-9.99764,84.6111,3.21E-05,-1.42666,1.70E-05,2.99E-06,1.50E+01
2.58,-9.95535,84.3197,3.51E-05,-1.42666,2.22E-05,3.10E-06,1.50E+01
2.6,-9.91324,84.0296,3.55E-05,-1.42666,2.29E-05,1.31E-06,1.50E+01
2.62,-9.8713,83.7406,2.59E-05,-1.42666,1.21E-05,-7.79E-06,1.50E+01
2.64,-9.82953,83.4528,3.64E-05,-1.42666,1.21E-05,1.48E-07,1.50E+01
2.66,-9.78793,83.1662,4.67E-05,-1.42666,4.82E-05,7.85E-06,1.50E+01
2.68,-9.74651,82.8808,3.77E-05,-1.42666,4.66E-05,1.07E-06,1.50E+01
2.7,-9.70526,82.5966,2.69E-05,-1.42666,2.72E-05,-7.05E-06,1.50E+01
2.72,-9.66418,82.3135,1.85E-05,-1.42666,1.21E-05,-1.34E-05,1.50E+01
2.74,-9.62327,82.0317,1.85E-05,-1.42666,1.21E-05,-1.34E-05,1.50E+01
2.76,-9.58254,81.751,1.89E-05,-1.42666,1.27E-05,-1.36E-05,1.50E+01
2.78,-9.54197,81.4716,2.18E-05,-1.42666,1.77E-05,-1.57E-05,1.50E+01
2.8,-9.50158,81.1933,1.54E-05,-1.42666,2.23E-06,-1.11E-05,1.50E+01
2.82,-9.46137,80.9162,2.31E-06,-1.42666,-3.42E-12,-1.67E-06,1.50E+01
2.84,-9.42132,80.6403,2.69E-05,-1.42666,1.02E-05,-1.94E-05,1.50E+01
2.86,-9.38145,80.3656,2.67E-05,-1.42666,4.61E-05,-1.93E-05,1.50E+01
2.88,-9.34175,80.092,1.59E-05,-1.42666,2.74E-05,-1.15E-05,1.50E+01
2.9,-9.30222,79.8197,5.13E-06,-1.42666,8.87E-06,-3.71E-06,1.50E+01
2.92,-9.26287,79.5485,-9.89E-16,-1.42666,2.63E-08,7.58E-15,1.50E+01
2.94,-9.22368,79.2785,-9.89E-16,-1.42666,2.63E-08,7.58E-15,1.50E+01
2.96,-9.18467,79.0098,0,-1.42666,0,0,1.50E+01
2.98,-9.14583,78.7422,7.30E-09,-1.42666,-1.31E-08,5.49E-09,1.50E+01
3,-9.10717,78.4758,7.30E-09,-1.42666,-1.31E-08,5.49E-09,1.50E+01
3.02,-9.06867,78.2105,7.60E-09,-1.42666,-1.31E-08,-5.49E-09,1.50E+01
3.04,-9.03035,77.9465,0,-1.42666,0,0,1.50E+01
3.06,-8.9922,77.6837,0,-1.42666,0,0,1.50E+01
3.08,-8.95423,77.422,7.60E-09,-1.42666,1.31E-08,-5.49E-09,1.50E+01
3.1,-8.91642,77.1615,0,-1.42666,0,0,1.50E+01
3.12,-8.87879,76.9022,-4.51E-16,-1.42666,2.63E-08,-1.22E-14,1.50E+01
3.14,-8.84133,76.6441,-4.51E-16,-1.42666,2.63E-08,-1.22E-14,1.50E+01
3.16,-8.80404,76.3872,7.60E-09,-1.42666,1.31E-08,-5.49E-09,1.50E+01
3.18,-8.76693,76.1315,7.60E-09,-1.42666,-1.31E-08,-5.49E-09,1.50E+01
3.2,-8.72999,75.877,1.49E-08,-1.42666,-2.63E-08,2.31E-15,1.50E+01
3.22,-8.69322,75.6236,1.49E-08,-1.42666,-2.63E-08,2.31E-15,1.50E+01
3.24,-8.65662,75.3715,7.30E-09,-1.42666,-1.31E-08,5.49E-09,1.50E+01
3.26,-8.62019,75.1205,7.30E-09,-1.42666,-1.31E-08,5.49E-09,1.50E+01
3.28,-8.58394,74.8707,7.30E-09,-1.42666,-1.31E-08,5.49E-09,1.50E+01
3.3,-8.54786,74.6221,7.30E-09,-1.42666,-1.31E-08,5.49E-09,1.50E+01
3.32,-8.51195,74.3747,0,-1.42666,0,0,1.50E+01
3.34,-8.47621,74.1285,0,-1.42666,0,0,1.50E+01
3.36,-8.44065,73.8835,0,-1.42666,0,0,1.50E+01
3.38,-8.40526,73.6396,0,-1.42666,0,0,1.50E+01
3.4,-8.37004,73.397,1.49E-08,-1.42666,1.53E-20,9.89E-15,1.50E+01
3.42,-8.33499,73.1555,1.49E-08,-1.42666,1.53E-20,9.89E-15,1.50E+01
3.44,-8.30012,72.9152,1.49E-08,-1.42666,1.53E-20,9.89E-15,1.50E+01
3.46,-8.26542,72.6761,7.60E-09,-1.42666,-1.31E-08,-5.49E-09,1.50E+01
3.48,-8.23089,72.4382,7.60E-09,-1.42666,-1.31E-08,-5.49E-09,1.50E+01
3.5,-8.19653,72.2015,7.60E-09,-1.42666,-1.31E-08,-5.49E-09,1.50E+01
3.52,-8.16235,71.966,7.60E-09,-1.42666,-1.31E-08,-5.49E-09,1.50E+01
3.54,-8.12833,71.7316,0,-1.42666,0,0,1.50E+01
3.56,-8.09449,71.4985,0,-1.42666,0,0,1.50E+01
3.58,-8.06083,71.2665,0,-1.42666,0,0,1.50E+01
3.6,-8.02733,71.0357,0,-1.42666,0,0,1.50E+01
3.62,-7.99401,70.8061,0,-1.42666,0,0,1.50E+01
3.64,-7.96086,70.5777,7.60E-09,-1.42666,1.31E-08,-5.49E-09,1.50E+01
3.66,-7.92788,70.3505,7.60E-09,-1.42666,1.31E-08,-5.49E-09,1.50E+01
3.68,-7.89507,70.1245,7.60E-09,-1.42666,1.31E-08,-5.49E-09,1.50E+01
3.7,-7.86244,69.8996,0,-1.42666,0,0,1.50E+01
3.72,-7.82998,69.676,0,-1.42666,0,0,1.50E+01
3.74,-7.79769,69.4535,0,-1.42666,0,0,1.50E+01
3.76,-7.76557,69.2322,0,-1.42666,0,0,1.50E+01
3.78,-7.73363,69.0121,0,-1.42666,0,0,1.50E+01
3.8,-7.70186,68.7932,7.30E-09,-1.42666,1.31E-08,5.49E-09,1.50E+01
3.82,-7.67026,68.5755,1.46E-08,-1.42666,2.25E-14,1.10E-08,1.50E+01
3.84,-7.63883,68.359,1.46E-08,-1.42666,2.25E-14,1.10E-08,1.50E+01
3.86,-7.60758,68.1436,7.30E-09,-1.42666,-1.31E-08,5.49E-09,1.50E+01
3.88,-7.57649,67.9295,7.30E-09,-1.42666,-1.31E-08,5.49E-09,1.50E+01
3.9,-7.54559,67.7165,0,-1.42666,0,0,1.50E+01
3.92,-7.51485,67.5047,1.46E-08,-1.42666,2.25E-14,1.10E-08,1.50E+01
3.94,-7.48428,67.2941,7.30E-09,-1.42666,-1.31E-08,5.49E-09,1.50E+01
3.96,-7.45389,67.0847,1.46E-08,-1.42666,2.25E-14,1.10E-08,1.50E+01
3.98,-7.42367,66.8765,1.46E-08,-1.42666,2.25E-14,1.10E-08,1.50E+01
4,-7.39362,66.6695,1.46E-08,-1.42666,2.25E-14,1.10E-08,1.50E+01
4.02,-7.36375,66.4636,1.46E-08,-1.42666,2.25E-14,1.10E-08,1.50E+01
4.04,-7.33404,66.259,1.46E-08,-1.42666,2.25E-14,1.10E-08,1.50E+01
4.06,-7.30451,66.0555,1.49E-08,-1.42666,-1.54E-20,-9.89E-15,1.50E+01
4.08,-7.27515,65.8532,2.25E-08,-1.42666,-1.31E-08,-5.49E-09,1.50E+01
4.1,-7.24597,65.6521,1.49E-08,-1.42666,-2.63E-08,2.31E-15,1.50E+01
4.12,-7.21695,65.4522,1.49E-08,-1.42666,-2.63E-08,2.31E-15,1.50E+01
4.14,-7.18811,65.2535,7.60E-09,-1.42666,-3.94E-08,-5.49E-09,1.50E+01
4.16,-7.15938,65.0556,9.89E-16,-1.42666,-2.63E-08,-7.58E-15,1.50E+01
4.18,-7.13077,64.8584,9.89E-16,-1.42666,-2.63E-08,-7.58E-15,1.50E+01
4.2,-7.10228,64.6621,1.52E-08,-1.42666,-2.63E-08,-1.10E-08,1.50E+01
4.22,-7.07389,64.4665,7.90E-09,-1.42666,-1.31E-08,-1.65E-08,1.50E+01
4.24,-7.04563,64.2718,7.90E-09,-1.42666,-1.31E-08,-1.65E-08,1.50E+01
4.26,-7.01747,64.0778,7.90E-09,-1.42666,-1.31E-08,-1.65E-08,1.50E+01
